"用例ID","模块","用例名称","前置条件","测试步骤","预期结果","备注"
"TC-022","报价提交","多航段搜索结果页提交 Proposal","首页可访问；系统存在可搜索的多城市路线","1. 选择 Multi City 2. 准备 4 个可搜索城市 3. 点击 Search 进入结果页 4. 校验有结果且价格有效 5. 选择最多 3 架飞机 6. 填写并提交 Quote 表单","成功进入 Thank You 页面","多航段场景"
"TC-023","Affiliate Partner","未登录点击 Join Us Today 需提示先登录","用户未登录；首页可访问","1. 从首页打开 Affiliate Partner 页面 2. 点击 Join Us Today","页面出现登录提示","权限校验"
"TC-024","Affiliate Partner","已登录用户重复提交 Affiliate Partner 表单提示已提交","已配置可用测试账号；首页可访问","1. 使用账号密码登录 2. 打开 Affiliate Partner 页面 3. 点击 Join Us Today 4. 填写 WhatsApp 和 WeChat 5. 提交表单","页面提示该用户已提交过申请","重复提交校验"
"TC-025","Services 菜单","Services - Empty Legs 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Empty Legs 3. 等待 /empty-leg 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Empty Leg 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-026","Services 菜单","Services - On-Demand Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 On-Demand Charter 3. 等待 /private-jet-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Private Jet Charter 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-027","Services 菜单","Services - Group Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Group Charter 3. 等待 /group-air-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Group Air Charter 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-028","Services 菜单","Services - Air Ambulance 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Air Ambulance 3. 等待 /air-ambulance 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Air Ambulance 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-029","Services 菜单","Services - Corporate Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Corporate Charter 3. 等待 /corporate-air-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Corporate 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-030","Services 菜单","Services - Pet Travel 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Pet Travel 3. 等待 /pet-travel 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Pet 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-031","Services 菜单","Services - Event Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Event Charter 3. 等待 /event-air-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Event 文案，且无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-032","Company 菜单","Company - About Us 页面校验","首页可访问","1. 打开 Company 菜单 2. 点击 About Us 3. 等待 /about-us 页面 4. 校验关键文案 5. 校验图片是否损坏 6. 校验按钮可点击状态 7. 校验站内链接可访问状态","页面包含 Your Global Air Charter Partner 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-033","Company 菜单","Company - Blogs 页面校验","首页可访问","1. 打开 Company 菜单 2. 点击 Blogs 3. 等待 /blogs 页面 4. 校验关键文案 5. 校验图片是否损坏 6. 校验按钮可点击状态 7. 校验站内链接可访问状态","页面包含 Exploring Private Aviation, Events and Insights 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-034","Membership 页面","Membership - Jet Card 页面校验","首页可访问","1. 从首页打开 Jet Card 页面 2. 等待 /jet-card 页面 3. 校验关键文案 4. 校验图片是否损坏 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 The Ultimate Private Jet Membership 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-035","Membership 页面","Membership - Travel Credit 页面校验","首页可访问","1. 从首页打开 Travel Credit 页面 2. 等待 /travel-credit 页面 3. 校验关键文案 4. 校验图片是否损坏 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Earn More, Travel More 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景"
"TC-036","Plan Your Flight 菜单","Plan Your Flight - How to Book 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 How to Book 3. 等待 /charter-guide/booking-process 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 How to Charter a Flight 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情图文"
"TC-037","Plan Your Flight 菜单","Plan Your Flight - Empty Leg Recommendation 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Empty Leg Recommendation 3. 等待 /charter-guide/empty-leg-recommendation 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 Learn more about Empty Legs Flight 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情页图片"
"TC-038","Plan Your Flight 菜单","Plan Your Flight - Destinations 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Destinations 3. 等待 /destination 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 Explore Exciting New Destinations with JETBAY 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情图文"
"TC-039","Plan Your Flight 菜单","Plan Your Flight - Airports 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Airports 3. 等待 /airports 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 Connecting You to Premier Private Jet Airports 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情图文"
"TC-040","Plan Your Flight 菜单","Plan Your Flight - Video Centre 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Video Centre 3. 等待 /charter-guide/video-centre 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接 6. 播放首个视频并校验","页面包含 Where Business Aviation Comes to Life 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接，并且首个视频可播放","视频播放校验"
